name,short_description,long_description,description,age_rating,image_url,category,release_date,developer,developer_logo_url
Final Fantasy XV,"Take the journey, now in ultimate quality","Take the journey, now in ultimate quality. Boasting a wealth of bonus content and supporting ultra high-resolution graphical options and HDR 10, you can now enjoy the beautiful and carefully-crafted experience of FINAL FANTASY XV like never before.","Take the journey, now in ultimate quality. Boasting a wealth of bonus content and supporting ultra high-resolution graphical options and HDR 10, you can now enjoy the beautiful and carefully-crafted experience of FINAL FANTASY XV like never before.",10,//images.igdb.com/igdb/image/upload/t_thumb/co1tr2.jpg,Role-playing (RPG),1480377600.0,HexaDrive,//images.igdb.com/igdb/image/upload/t_thumb/qfwkooabvrdliif7evns.jpg
Metal Gear Solid 2: Sons of Liberty,"This third-person stealth action game, sequel to Metal Gear Solid (1998), follows Solid Snake and Otacon through various incidents as they strive to destroy nuclear terror threats around the world","This third-person stealth action game, sequel to Metal Gear Solid (1998), follows Solid Snake and Otacon through various incidents as they strive to destroy nuclear terror threats around the world. When the president of the United States is captured inside the oil cleanup facility Big Shell, a rookie agent infiltrates the facility while the player is forced to doubt their perception of trust, knowledge and reality.","This third-person stealth action game, sequel to Metal Gear Solid (1998), follows Solid Snake and Otacon through various incidents as they strive to destroy nuclear terror threats around the world. When the president of the United States is captured inside the oil cleanup facility Big Shell, a rookie agent infiltrates the facility while the player is forced to doubt their perception of trust, knowledge and reality.",11,//images.igdb.com/igdb/image/upload/t_thumb/co29pl.jpg,Adventure,1005609600.0,Konami Computer Entertainment Japan,//images.igdb.com/igdb/image/upload/t_thumb/cl3e0.jpg
Metal Gear Rising: Revengeance,"Developed by Kojima Productions and PlatinumGames, METAL GEAR RISING: REVENGEANCE takes the renowned METAL GEAR franchise into exciting new territory with an all-new action experience","Developed by Kojima Productions and PlatinumGames, METAL GEAR RISING: REVENGEANCE takes the renowned METAL GEAR franchise into exciting new territory with an all-new action experience. The game seamlessly melds pure action and epic story-telling that surrounds Raiden – a child soldier transformed into a half-human, half-cyborg ninja who uses his High Frequency katana blade to cut through any thing that stands in his vengeful path!

A huge success on both Xbox 360® and PlayStation®3, METAL GEAR RISING: REVENGEANCE comes to PC with all the famed moves and action running within a beautifully-realised HD environment.

This new PC version includes all three DLC missions: Blade Wolf, Jetstream, and VR Missions, in addition to all customized body upgrades for Raiden, including: White Armor, Inferno Armor, Commando Armor, Raiden’s MGS4 body, and the ever-popular Cyborg Ninja.

""CUTSCENES"" option added to the Main Menu. Play any and all cutscenes.

""CODECS"" option added to the Main Menu. Play all and any codec conversation scenes.

Menu option added to the CHAPTER Menu enabling user to play only the Boss battles.

""GRAPHIC OPTIONS"" added to the OPTIONS Menu. Modify resolution, anti-aliasing, etc.
There is an option reading ""ZANGEKI"" that will modify the amount of cuts you can make.","Developed by Kojima Productions and PlatinumGames, METAL GEAR RISING: REVENGEANCE takes the renowned METAL GEAR franchise into exciting new territory with an all-new action experience. The game seamlessly melds pure action and epic story-telling that surrounds Raiden – a child soldier transformed into a half-human, half-cyborg ninja who uses his High Frequency katana blade to cut through any thing that stands in his vengeful path!

A huge success on both Xbox 360® and PlayStation®3, METAL GEAR RISING: REVENGEANCE comes to PC with all the famed moves and action running within a beautifully-realised HD environment.

This new PC version includes all three DLC missions: Blade Wolf, Jetstream, and VR Missions, in addition to all customized body upgrades for Raiden, including: White Armor, Inferno Armor, Commando Armor, Raiden’s MGS4 body, and the ever-popular Cyborg Ninja.

""CUTSCENES"" option added to the Main Menu. Play any and all cutscenes.

""CODECS"" option added to the Main Menu. Play all and any codec conversation scenes.

Menu option added to the CHAPTER Menu enabling user to play only the Boss battles.

""GRAPHIC OPTIONS"" added to the OPTIONS Menu. Modify resolution, anti-aliasing, etc.
There is an option reading ""ZANGEKI"" that will modify the amount of cuts you can make.",5,//images.igdb.com/igdb/image/upload/t_thumb/co2l1t.jpg,Shooter,1361232000.0,Konami,//images.igdb.com/igdb/image/upload/t_thumb/cl1dt.jpg
Metal Gear Solid 4: Guns of the Patriots,"Metal Gear Solid 4: Guns of the Patriots is a story-driven adventure game, with seasoned hero Solid Snake drafted for one final mission","Metal Gear Solid 4: Guns of the Patriots is a story-driven adventure game, with seasoned hero Solid Snake drafted for one final mission. Set across stages including the Middle East and South America, the now aged Snake has been asked to assassinate his old adversary, Liquid Ocelot. To do this, however, he must make his way through a series of battlefields, using his legendary stealth abilities and all-new OctoCamo suit to avoid detection and to reach his target. With series favorites such as Meryl Silverburgh, Raiden, Hal 'Otacon' Emmerich, Eva and Roy Campbell returning, and with all new gameplay features including a remote-controlled Metal Gear Mk. II and enhanced CQC (Close Quarters Combat) system, Metal Gear Solid 4 rounds out the Metal Gear saga with a fittingly cinematic and gripping final outing.","Metal Gear Solid 4: Guns of the Patriots is a story-driven adventure game, with seasoned hero Solid Snake drafted for one final mission. Set across stages including the Middle East and South America, the now aged Snake has been asked to assassinate his old adversary, Liquid Ocelot. To do this, however, he must make his way through a series of battlefields, using his legendary stealth abilities and all-new OctoCamo suit to avoid detection and to reach his target. With series favorites such as Meryl Silverburgh, Raiden, Hal 'Otacon' Emmerich, Eva and Roy Campbell returning, and with all new gameplay features including a remote-controlled Metal Gear Mk. II and enhanced CQC (Close Quarters Combat) system, Metal Gear Solid 4 rounds out the Metal Gear saga with a fittingly cinematic and gripping final outing.",11,//images.igdb.com/igdb/image/upload/t_thumb/co3qsv.jpg,Shooter,1213228800.0,Kojima Productions,//images.igdb.com/igdb/image/upload/t_thumb/cl2v5.jpg
Metal Gear Solid: Portable Ops,MPO is the fourth Metal Gear title made specifically for the PSP and the first one to retain the series' action-based play mechanics,"MPO is the fourth Metal Gear title made specifically for the PSP and the first one to retain the series' action-based play mechanics. It is the first canonical outing of the Metal Gear Solid series for a portable platform, following the storyline of Metal Gear Solid 3: Snake Eater. Set in Colombia in 1970, six years after the events of Snake Eater, the game follows the exploits of Naked Snake after his former unit, FOX, goes renegade. The game also chronicles the eventual founding of FOXHOUND and The Patriots, as well as the inspiration of the military state Outer Heaven. 
 
Metal Gear Solid: Portable Ops has received highly positive critical reception from critics, and is often viewed as one of the best games released for the PSP. It was praised for its visuals, usage of Metal Gear elements and story, while criticism was directed at the game's control scheme.","MPO is the fourth Metal Gear title made specifically for the PSP and the first one to retain the series' action-based play mechanics. It is the first canonical outing of the Metal Gear Solid series for a portable platform, following the storyline of Metal Gear Solid 3: Snake Eater. Set in Colombia in 1970, six years after the events of Snake Eater, the game follows the exploits of Naked Snake after his former unit, FOX, goes renegade. The game also chronicles the eventual founding of FOXHOUND and The Patriots, as well as the inspiration of the military state Outer Heaven. 
 
Metal Gear Solid: Portable Ops has received highly positive critical reception from critics, and is often viewed as one of the best games released for the PSP. It was praised for its visuals, usage of Metal Gear elements and story, while criticism was directed at the game's control scheme.",11,//images.igdb.com/igdb/image/upload/t_thumb/co2qok.jpg,Adventure,1165276800.0,Konami Computer Entertainment Japan,//images.igdb.com/igdb/image/upload/t_thumb/cl3e0.jpg
Dissidia Final Fantasy,"Dissidia Final Fantasy is a 3D-arena fighting game with RPG elements featuring 20 characters, heroes and villains, from the first 10 final fantasy games summed by the god of discord and the goddess of harmony to fight over the fate of the world","Dissidia Final Fantasy is a 3D-arena fighting game with RPG elements featuring 20 characters, heroes and villains, from the first 10 final fantasy games summed by the god of discord and the goddess of harmony to fight over the fate of the world.","Dissidia Final Fantasy is a 3D-arena fighting game with RPG elements featuring 20 characters, heroes and villains, from the first 10 final fantasy games summed by the god of discord and the goddess of harmony to fight over the fate of the world.",10,//images.igdb.com/igdb/image/upload/t_thumb/co205i.jpg,Fighting,1229558400.0,Square Enix,//images.igdb.com/igdb/image/upload/t_thumb/yqsot4fytthxblnyvcia.jpg
Red Dead Redemption,"A modern-day Western epic, Red Dead Redemption takes John Marston, a relic from the fast-closing time of the gunslinger, through an open-world filled with wildlife, mini games and shootouts","A modern-day Western epic, Red Dead Redemption takes John Marston, a relic from the fast-closing time of the gunslinger, through an open-world filled with wildlife, mini games and shootouts. Marston sets out to hunt down his old gang mates for the government, who have taken away his family, and meets many characters emblematic of the Wild West, heroism and the new civilization along his journey.","A modern-day Western epic, Red Dead Redemption takes John Marston, a relic from the fast-closing time of the gunslinger, through an open-world filled with wildlife, mini games and shootouts. Marston sets out to hunt down his old gang mates for the government, who have taken away his family, and meets many characters emblematic of the Wild West, heroism and the new civilization along his journey.",11,//images.igdb.com/igdb/image/upload/t_thumb/co2lcv.jpg,Shooter,1274140800.0,Rockstar Games,//images.igdb.com/igdb/image/upload/t_thumb/wcqgg7udjjtzxjsqfnfi.jpg
Operation Flashpoint: Red River,"Stand together with the US Marines in Operation Flashpoint: Red River, the ultimate tactical infantry shooter","Stand together with the US Marines in Operation Flashpoint: Red River, the ultimate tactical infantry shooter. 
 
You’ll play as one of four distinct and complimentary classes in a Marine Fireteam – Grenadier, Scout, Rifleman and Automatic Rifleman - as you embark on an epic campaign. Take on huge sandbox battlefields in the new setting of Tajikistan, a geopolitical hotspot bordered by Afghanistan and China. Face the unpredictable threat of all-new insurgent enemies and the might of the world’s largest Army, the Chinese PLA. Use authentic tactics on your own initiative in solo or in four player drop-in, drop-out co-op campaign. 
 
For extended replayability, Operation Flashpoint: Red River also includes new class choice, load-out personalisation plus standalone co-op Fireteam Engagements. With a huge range of authentic weapons and the chance to call in devastating airstrikes, Operation Flashpoint: Red River will put you in the boots of a Marine like never before.","Stand together with the US Marines in Operation Flashpoint: Red River, the ultimate tactical infantry shooter. 
 
You’ll play as one of four distinct and complimentary classes in a Marine Fireteam – Grenadier, Scout, Rifleman and Automatic Rifleman - as you embark on an epic campaign. Take on huge sandbox battlefields in the new setting of Tajikistan, a geopolitical hotspot bordered by Afghanistan and China. Face the unpredictable threat of all-new insurgent enemies and the might of the world’s largest Army, the Chinese PLA. Use authentic tactics on your own initiative in solo or in four player drop-in, drop-out co-op campaign. 
 
For extended replayability, Operation Flashpoint: Red River also includes new class choice, load-out personalisation plus standalone co-op Fireteam Engagements. With a huge range of authentic weapons and the chance to call in devastating airstrikes, Operation Flashpoint: Red River will put you in the boots of a Marine like never before.",5,//images.igdb.com/igdb/image/upload/t_thumb/co1o0u.jpg,Shooter,1303344000.0,Codemasters Southam,
Battlefield: Bad Company,"Set in the near future, the Battlefield: Bad Company single-player campaign drops gamers behind enemy lines as part of a squad of four soldiers - risking it all to go AWOL on a personal quest","Set in the near future, the Battlefield: Bad Company single-player campaign drops gamers behind enemy lines as part of a squad of four soldiers - risking it all to go AWOL on a personal quest. Featuring a dramatic storyline flavoured with attitude, Battlefield: Bad Company leads gamers far from the traditional frontlines on a wild ride with a group of renegade soldiers who decide that sometimes the gratitude of a nation just isn’t enough.

Battlefield: Bad Company is the first game built from the ground up for next-generation consoles using DICE’s bleeding-edge Frostbite game engine, delivering unrivalled graphics, effects and gameplay. Join Bad Company now.","Set in the near future, the Battlefield: Bad Company single-player campaign drops gamers behind enemy lines as part of a squad of four soldiers - risking it all to go AWOL on a personal quest. Featuring a dramatic storyline flavoured with attitude, Battlefield: Bad Company leads gamers far from the traditional frontlines on a wild ride with a group of renegade soldiers who decide that sometimes the gratitude of a nation just isn’t enough.

Battlefield: Bad Company is the first game built from the ground up for next-generation consoles using DICE’s bleeding-edge Frostbite game engine, delivering unrivalled graphics, effects and gameplay. Join Bad Company now.",4,//images.igdb.com/igdb/image/upload/t_thumb/co1xbe.jpg,Shooter,1214179200.0,EA Digital Illusions CE,//images.igdb.com/igdb/image/upload/t_thumb/srtuszl5jkb0ykhzyt6l.jpg
Silent Hill: Origins,"Silent Hill: Origins is the fifth installment in the Silent Hill survival horror series, and a prequel to the original game","Silent Hill: Origins is the fifth installment in the Silent Hill survival horror series, and a prequel to the original game. As in the previous entries, the player move back and forth between nightmare and real versions of the town, gathering items used to solve puzzles and open up new areas. Monsters of various types provide obstacles and, in series tradition, are mostly disturbingly twisted versions of humanity. The main character can fight with his bare fists or use melee weapons. Unlike previous games in the series, melee weapons break after a time. There are also one-shot items that can be thrown and several guns. There is no HUD, but the edge of the screen turns red when the protagonist is near death.","Silent Hill: Origins is the fifth installment in the Silent Hill survival horror series, and a prequel to the original game. As in the previous entries, the player move back and forth between nightmare and real versions of the town, gathering items used to solve puzzles and open up new areas. Monsters of various types provide obstacles and, in series tradition, are mostly disturbingly twisted versions of humanity. The main character can fight with his bare fists or use melee weapons. Unlike previous games in the series, melee weapons break after a time. There are also one-shot items that can be thrown and several guns. There is no HUD, but the edge of the screen turns red when the protagonist is near death.",11,//images.igdb.com/igdb/image/upload/t_thumb/co2vyq.jpg,Adventure,1194307200.0,Climax Studios,//images.igdb.com/igdb/image/upload/t_thumb/f5oetrtjo0y44mu8z5yg.jpg
Castlevania: Lords of Shadow,Gabriel Belmont learns of a mask with the power to raise the dead and sets out on a mission to obtain it to bring his recently murdered wife back from the dead,"Gabriel Belmont learns of a mask with the power to raise the dead and sets out on a mission to obtain it to bring his recently murdered wife back from the dead.

Lords of Shadow builds upon the combat systems first explored in this series in 2003's Lament of Innocence and adds more violent kills to the mix. Inspiration for these changes seems to have come from 2005's God of War.","Gabriel Belmont learns of a mask with the power to raise the dead and sets out on a mission to obtain it to bring his recently murdered wife back from the dead.

Lords of Shadow builds upon the combat systems first explored in this series in 2003's Lament of Innocence and adds more violent kills to the mix. Inspiration for these changes seems to have come from 2005's God of War.",11,//images.igdb.com/igdb/image/upload/t_thumb/co2slv.jpg,Hack and slash/Beat 'em up,1286236800.0,Konami,//images.igdb.com/igdb/image/upload/t_thumb/cl1dt.jpg
Heavy Rain,Heavy Rain is a cinematic psychological thriller from game developer Quantic Dream exclusively for the PlayStation 3,"Heavy Rain is a cinematic psychological thriller from game developer Quantic Dream exclusively for the PlayStation 3. Dealing with a range of adult themes, the game revolves around a sophisticated plot and strong narrative threads that explore a complex moral proposition. You assume the role of multiple characters with very different backgrounds, motivations, and skills in a world where each player decision affects what will follow.","Heavy Rain is a cinematic psychological thriller from game developer Quantic Dream exclusively for the PlayStation 3. Dealing with a range of adult themes, the game revolves around a sophisticated plot and strong narrative threads that explore a complex moral proposition. You assume the role of multiple characters with very different backgrounds, motivations, and skills in a world where each player decision affects what will follow.",11,//images.igdb.com/igdb/image/upload/t_thumb/co3rhy.jpg,Adventure,1266451200.0,Quantic Dream,//images.igdb.com/igdb/image/upload/t_thumb/qxmxnux9bikvcnbjxale.jpg
